title,price
Scampi al ajillo (Crevettes à l’aïl traditionnelle hispanique) ,12.0
Os à moelle doré au four (Toast de pain croustillant frotté à l’aïl) ,12.0
Albondigas épicées (Kefta maison sauce tomatée) ,12.0
Soupe à l'oignon de nos terroirs (Gratinée au cantal AOP) ,12.0
Soupe de poisson frais (Comme une bouillabaisse marseillaise) ,12.0
Accras de morue sauce chien -6 pièces- (Légèrement piquante façon martiniquaise) ,12.0
"Saumon fumé tranché (Fumage maison, crème fouettée, toast) ",12.0
Ceviche de poisson cru du moment (Inspiré de la recette polynésienne) ,12.0
Camembert Normand AOP au four (Avec son pain croustillant) ,12.0
Rillettes de nos fermes -En bocal à partager- (Traditionnelle terrine du sud-ouest) ,12.0
Rillettes de la mer -En bocal à partager- (Condiments de saison) ,12.0
Bloc de foie gras IGP -Fait maison- ,15.0
"Carpaccio de bœuf francais (Pickles d’oignons, parmesan 18 mois, huile d’olive, amandes hachées grillées) ",12.0
Les Escargots de bourgogne (X6) - (Servit avec beurre maitre d’hôtel) ,12.0
"Les Huitres du bassin d'Arcachon -6p/pax- (Mignonette, beurre demi-sel et citron frais) ",12.0
Les cœurs de canards de ma grand-mère (Persillés comme dans les Landes) ,12.0
Les croquetas de San Sebastien (Au jambon ibérique) ,12.0
"Focaccia de tomate confite (Burrata crémeuse, roquette, poivre frais et huile d’olive millésime) ",12.0
Les nems croustillants -3 pièces- (Effiloché de canard des landes) ,12.0
Tataki de thon frais (Houmous au sésame torréfié) ,12.0
Piperade d’œuf bio et jambon de pays (IGB Bayonne) ,12.0
Les crépinettes du Sud Ouest (Chair à saucisse maison) ,12.0
Les pimentos de Pádron (Gros sel et txistorra) ,12.0
Friture de poisson frit (Sauce tartare et herbes fraiches) ,12.0
Vitello tonnato (Sauce piémontaise) ,12.0
Bisque de homard crémeuse (Haricot lingot et chorizo ibérique) ,12.0
"Boudin noir du sud ouest à la plancha (Piquillos sur toast, vinaigrette) ",12.0
Huîtres du bassin d’Arcachon (X4) et crépinette de porc ,12.0
